City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,Polunochnoye,60.87,60.42,40.37,95,100,4.05,RU,2020-09-13 02:14:12
206,College,64.86,-147.8,53.6,40,75,9.17,US,2020-09-13 02:12:42
207,Kokuy,52.2,117.55,63.77,56,87,6.4,RU,2020-09-13 02:14:13
208,Disna,55.57,28.2,55.67,81,60,12.17,BY,2020-09-13 02:14:13
209,Husavik,66.04,-17.34,39.2,86,90,9.17,IS,2020-09-13 02:14:14
210,Mar Del Plata,-38.0,-57.56,52.0,61,0,9.17,AR,2020-09-13 02:14:14
211,Hami,42.8,93.45,66.42,22,94,8.68,CN,2020-09-13 02:14:14
212,Kahului,20.89,-156.47,89.6,52,40,24.16,US,2020-09-13 02:13:23
213,Minas,-34.38,-55.24,48.99,87,15,10.29,UY,2020-09-13 02:14:15
214,Koshurnikovo,54.17,93.3,44.6,86,69,1.28,RU,2020-09-13 02:14:15
215,Maxixe,-23.86,35.35,67.55,84,47,4.68,MZ,2020-09-13 02:14:16
216,Esperance,-33.87,121.9,60.8,72,0,5.82,AU,2020-09-13 02:14:16
217,Rocha,-34.48,-54.33,42.6,85,0,2.89,UY,2020-09-13 02:14:17
218,Constitucion,-35.33,-72.42,49.1,79,3,11.7,CL,2020-09-13 02:14:17
219,Nola,40.92,14.53,75.99,60,0,4.7,IT,2020-09-13 02:14:17
220,Pundaguitan,6.37,126.17,83.7,73,97,4.38,PH,2020-09-13 02:14:18
221,Hofn,64.25,-15.21,43.75,65,0,16.11,IS,2020-09-13 02:14:18
222,Ambovombe,-25.17,46.08,69.33,82,1,14.56,MG,2020-09-13 02:14:18
223,Geraldton,-28.77,114.6,69.8,49,0,18.34,AU,2020-09-13 02:14:19
224,Korgen,66.08,13.82,45.0,93,64,8.57,NO,2020-09-13 02:14:19
225,Kimbe,-5.55,150.14,90.5,54,2,7.07,PG,2020-09-13 02:14:19
226,Nikolskoye,59.7,30.79,55.4,87,90,17.9,RU,2020-09-13 02:14:20
227,Xinan,26.72,119.86,77.7,78,99,5.84,CN,2020-09-13 02:14:20
228,Waipawa,-41.41,175.52,57.2,62,95,25.28,NZ,2020-09-13 02:14:20
229,Russell,32.35,-85.2,75.2,88,20,5.73,US,2020-09-13 02:14:21
230,Tripoli,32.88,13.19,79.09,73,0,6.71,LY,2020-09-13 02:14:21
231,Saldanha,-33.01,17.94,57.2,87,100,8.05,ZA,2020-09-13 02:14:22
232,Kailaras,26.32,77.62,83.44,62,1,5.03,IN,2020-09-13 02:14:23
233,San,13.3,-4.9,78.37,81,52,6.67,ML,2020-09-13 02:14:23
234,Camacha,33.08,-16.33,69.8,88,40,6.4,PT,2020-09-13 02:14:23
235,Caravelas,-17.71,-39.25,71.29,85,0,6.24,BR,2020-09-13 02:12:34
236,Pierre,44.37,-100.35,68.0,56,1,1.83,US,2020-09-13 02:14:24
237,Northampton,40.88,-75.25,61.0,86,0,2.95,US,2020-09-13 02:14:24
238,Korhogo,9.45,-5.63,70.9,97,84,3.29,CI,2020-09-13 02:14:25
239,Sulangan,11.14,123.72,83.79,72,100,3.87,PH,2020-09-13 02:14:25
240,Los Llanos De Aridane,28.66,-17.92,71.6,73,22,5.82,ES,2020-09-13 02:14:25
241,Kalmunai,7.42,81.82,81.43,73,100,2.57,LK,2020-09-13 02:14:26
242,Muros,42.78,-9.06,70.0,70,7,10.36,ES,2020-09-13 02:13:22
243,Kamariotissa,40.48,25.47,73.4,60,0,12.75,GR,2020-09-13 02:14:26
244,Beipiao,41.79,120.78,66.81,73,72,12.17,CN,2020-09-13 02:14:08
245,Marsh Harbour,26.54,-77.06,83.41,73,100,10.76,BS,2020-09-13 02:14:27
246,Uarini,-2.99,-65.11,75.63,88,13,2.62,BR,2020-09-13 02:14:27
247,Bredasdorp,-34.53,20.04,57.2,87,97,4.7,ZA,2020-09-13 02:14:28
248,Mahebourg,-20.41,57.7,68.0,88,40,2.24,MU,2020-09-13 02:14:28
249,Bandarbeyla,9.49,50.81,79.72,68,24,19.35,SO,2020-09-13 02:14:29
250,Bubaque,11.28,-15.83,79.61,83,92,7.65,GW,2020-09-13 02:14:30
251,Chipata,-13.63,32.65,59.79,64,0,7.4,ZM,2020-09-13 02:14:30
252,Fort Frances,48.6,-93.4,53.6,93,1,4.7,CA,2020-09-13 02:14:30
253,Ahipara,-35.17,173.17,57.9,59,0,10.09,NZ,2020-09-13 02:14:31
254,Cam Ranh,11.92,109.16,91.4,59,20,1.12,VN,2020-09-13 02:14:31
255,Gogrial,8.53,28.1,73.13,90,100,4.12,SS,2020-09-13 02:14:33
256,Mangai,-4.05,19.53,71.82,86,12,1.25,CD,2020-09-13 02:14:33
257,Shimoda,34.67,138.95,80.6,83,75,3.36,JP,2020-09-13 02:14:33
258,Coquimbo,-29.95,-71.34,55.6,74,0,1.79,CL,2020-09-13 02:14:34
259,Moroni,-11.7,43.26,75.06,79,0,11.21,KM,2020-09-13 02:14:34
260,Oytal,42.91,73.27,63.1,36,0,3.0,KZ,2020-09-13 02:14:34
261,Juneau,58.3,-134.42,60.8,26,40,8.05,US,2020-09-13 02:14:35
262,Tura,25.52,90.22,78.3,94,100,3.89,IN,2020-09-13 02:12:13
263,Nerchinskiy Zavod,51.31,119.61,58.93,59,21,6.85,RU,2020-09-13 02:14:35
264,Filadelfia,39.95,-75.16,64.99,68,20,9.17,US,2020-09-13 02:12:49
265,Negara,-8.32,114.6,81.99,62,94,7.45,ID,2020-09-13 02:14:36
266,Adrar,20.5,-10.07,89.2,39,63,7.38,MR,2020-09-13 02:14:36
267,Ca Mau,9.18,105.15,85.21,72,100,6.6,VN,2020-09-13 02:14:36
